type,title,slug,link,date
page,About,about,https://fermibot.wordpress.com/about/,2012-10-26 14:09:34
page,Water Molecules,water-molecules,https://fermibot.wordpress.com/water-molecules/,2014-05-31 17:31:37
page,Random Cubes,random-cubes,https://fermibot.wordpress.com/random-experiments/random-cubes/,2014-06-02 03:10:24
page,Experiments,random-experiments,https://fermibot.wordpress.com/random-experiments/,2014-06-02 03:11:55
page,Central Limit Theorem,central-limit-theorem-experiment,https://fermibot.wordpress.com/central-limit-theorem-experiment/,2015-12-29 23:59:11
page,Statistics Concepts,statistics-tutorials,https://fermibot.wordpress.com/statistics-tutorials/,2015-12-30 00:01:14
page,Statistical Distribution Functions,statistical-distribution-functions,https://fermibot.wordpress.com/statistics-tutorials/statistical-distribution-functions/,2015-12-30 04:59:34
page,Random Walks,random-walks,https://fermibot.wordpress.com/random-experiments/random-walks/,2016-01-01 03:21:10
page,Evolution,evolution,https://fermibot.wordpress.com/evolution/,2016-06-09 01:13:08
page,Pearson Correalation,pearson-correalation,https://fermibot.wordpress.com/pearson-correalation/,2016-09-24 19:49:05
page,Analysis of Shakespeare's work using Python 3,analysis-of-shakespeares-work-using-python-3,https://fermibot.wordpress.com/analysis-of-shakespeares-work-using-python-3/,2016-12-30 01:01:24
page,Simulation Problems,simulation-problems,https://fermibot.wordpress.com/simulation-problems/,2016-12-30 01:11:51
page,One Way Analysis of Variances (ANOVA) - A visual guide,one-way-analysis-of-variances-anova-a-visual-guide,https://fermibot.wordpress.com/one-way-analysis-of-variances-anova-a-visual-guide/,2017-02-05 04:38:10
page,Sheldon Ross: 10 Example 3.13 (Mouse trapped in a maze),mouse-trapped-in-a-tunnel,https://fermibot.wordpress.com/mouse-trapped-in-a-tunnel/,2017-02-05 15:53:43
page,Random Number Generators,code-libraries-for-random-numbers,https://fermibot.wordpress.com/code-libraries-for-random-numbers/,2017-02-09 19:43:28
page,MRG32k3a,mrg32k3a,https://fermibot.wordpress.com/mrg32k3a/,2017-02-13 07:13:17
page,ANOVA Package Python 3.5,anova-package-python-3-5,https://fermibot.wordpress.com/anova-package-python-3-5/,2017-02-17 02:38:38
page,Simulating rolls of Dice,simulating-rolls-of-dice,https://fermibot.wordpress.com/simulation-problems/simulating-rolls-of-dice/,2017-03-01 15:50:00
page,Data Visualization,data-visualization,https://fermibot.wordpress.com/data-visualization/,2017-03-12 22:54:20
page,U.S. Chronic Disease Indicators (CDI),u-s-chronic-disease-indicators-cdi,https://fermibot.wordpress.com/u-s-chronic-disease-indicators-cdi/,2017-03-12 22:57:07
page,Image Segmentation,image-segmentation,https://fermibot.wordpress.com/image-segmentation/,2017-06-10 02:28:26
page,Josephus Problem,josephus-problem,https://fermibot.wordpress.com/josephus-problem/,2018-02-22 01:46:20
page,Sheldon Ross 10 : Example 2.8,sheldon-ross-11-example-2-8,https://fermibot.wordpress.com/sheldon-ross-11-example-2-8/,2018-06-08 01:07:35
page,Probability Problems,probability-solved-problems,https://fermibot.wordpress.com/probability-solved-problems/,2018-06-09 15:26:08
page,Sheldon Ross 10 : Example 2.9,sheldon-ross-10-example-2-9,https://fermibot.wordpress.com/sheldon-ross-10-example-2-9/,2018-06-10 20:46:01
page,Sheldon Ross 10 : Example 2.10,sheldon-ross-10-example-2-10,https://fermibot.wordpress.com/sheldon-ross-10-example-2-10/,2018-06-13 01:09:45
page,Sheldon Ross 10 : Example 2.12 (α-particles ),sheldon-ross-10-example-2-12,https://fermibot.wordpress.com/sheldon-ross-10-example-2-12/,2018-06-14 02:06:44
page,Sheldon Ross 10: Example 2.18 (Expectation of a Geometric Random Variable),sheldon-ross-10-example-2-18-expectation-of-a-geometric-random-variable,https://fermibot.wordpress.com/sheldon-ross-10-example-2-18-expectation-of-a-geometric-random-variable/,2018-06-19 01:47:32
page,Sheldon Ross 10: Example 2.31,sheldon-ross-10-example-2-31,https://fermibot.wordpress.com/sheldon-ross-10-example-2-31/,2018-06-20 02:45:14
page,Sheldon Ross 10: Example 2.32,sheldon-ross-10-example-2-32,https://fermibot.wordpress.com/sheldon-ross-10-example-2-32/,2018-06-21 04:42:12
page,Sheldon Ross 10: Example 2.37 (Sums of Independent Poisson Random Variables),sheldon-ross-10-example-2-37-sums-of-independent-poisson-random-variables,https://fermibot.wordpress.com/sheldon-ross-10-example-2-37-sums-of-independent-poisson-random-variables/,2018-06-27 01:15:58
page,Sheldon Ross 10: Example 2.38 (Order Statistics),sheldon-ross-10-example-2-38-order-statistics,https://fermibot.wordpress.com/sheldon-ross-10-example-2-38-order-statistics/,2018-06-29 23:56:21
page,Sheldon Ross 10: Example 2.49,sheldon-ross-10-example-2-49,https://fermibot.wordpress.com/sheldon-ross-10-example-2-49/,2018-07-06 02:33:05
page,Sheldon Ross 10: Example 2.52,sheldon-ross-10-example-2-52,https://fermibot.wordpress.com/sheldon-ross-10-example-2-52/,2018-07-07 01:26:48
page,Sheldon Ross 10: Example 2.53,sheldon-ross-10-example-2-53,https://fermibot.wordpress.com/sheldon-ross-10-example-2-53/,2018-07-07 05:14:52
page,Sheldon Ross 10: Exercise 2.02,sheldon-ross-10-exercise-2-02,https://fermibot.wordpress.com/sheldon-ross-10-exercise-2-02/,2018-07-07 17:14:08
page,Sheldon Ross 10: Exercise 2.28 - Making a biased system useful!,sheldon-ross-10-exercise-2-28-making-a-biased-system-useful,https://fermibot.wordpress.com/sheldon-ross-10-exercise-2-28-making-a-biased-system-useful/,2018-07-10 02:30:07
page,Sheldon Ross 10: Example 3.16 (Analyzing the Quick-Sort Algorithm),sheldon-ross-10-example-3-16-analyzing-the-quick-sort-algorithm,https://fermibot.wordpress.com/sheldon-ross-10-example-3-16-analyzing-the-quick-sort-algorithm/,2018-07-16 02:48:13
page,Sheldon Ross 10: Example 3.17,sheldon-ross-10-example-3-17,https://fermibot.wordpress.com/sheldon-ross-10-example-3-17/,2018-07-24 10:36:26
page,Sheldon Ross 10: Example 3.23,sheldon-ross-10-example-3-23,https://fermibot.wordpress.com/sheldon-ross-10-example-3-23/,2018-07-29 12:43:34
page,Sheldon Ross 10: Example 3.25 (The best prize problem),sheldon-ross-10-example-3-25-the-best-prize-problem,https://fermibot.wordpress.com/sheldon-ross-10-example-3-25-the-best-prize-problem/,2018-08-02 02:16:04
page,City Bus Simulation,city-bus-simulation,https://fermibot.wordpress.com/city-bus-simulation/,2018-08-08 03:06:24
page,Sheldon Ross 10: Example 3.27 (The Ballot Problem),sheldon-ross-10-example-3-27-the-ballot-problem,https://fermibot.wordpress.com/sheldon-ross-10-example-3-27-the-ballot-problem/,2018-08-12 00:23:28
page,Sheldon Ross 10: Example 3.28,sheldon-ross-10-example-3-28,https://fermibot.wordpress.com/sheldon-ross-10-example-3-28/,2018-08-15 01:17:47
page,Sheldon Ross 10: Example 3.30,sheldon-ross-10-example-3-30,https://fermibot.wordpress.com/sheldon-ross-10-example-3-30/,2018-08-18 01:37:03
page,Introduction to Probability Modeling – Chapter 02,sheldon-ross-chapter-2,https://fermibot.wordpress.com/sheldon-ross-chapter-2/,2018-08-21 10:48:44
page,Introduction to Probability Modeling - Chapter 03,sheldon-ross-chapter-3,https://fermibot.wordpress.com/sheldon-ross-chapter-3/,2018-08-21 10:49:01
page,Sheldon Ross 10,sheldon-ross-10,https://fermibot.wordpress.com/sheldon-ross-10/,2018-08-21 10:53:36
page,Sheldon Ross 10: Example 3.11 (The Expectation of the Sum of a Random Number of Random Variables),sheldon-ross-10-example-3-11-the-expectation-of-the-sum-of-a-random-number-of-random-variables,https://fermibot.wordpress.com/sheldon-ross-10-example-3-11-the-expectation-of-the-sum-of-a-random-number-of-random-variables/,2018-08-22 00:30:06
