chapter_name,section_name,chapter_summary,Follows
01 The Flooding Smile,01 You only have 10 seconds to show you're a somebody,"Don't smile immediately when greeting someone. Instead, pause for a second, look at their face, and then let a big, warm smile flood over your face and into your eyes. The delay makes your smile appear more genuine and personalized.",
02 Sticky Eyes,01 You only have 10 seconds to show you're a somebody,"Pretend your eyes are glued to your conversation partner's with warm taffy. Maintain eye contact even after they finish speaking, and when you must look away, do it slowly and reluctantly. This conveys feelings of respect and fondness."," 03 Epoxy Eyes, 03 Epoxy Eyes"
03 Epoxy Eyes,01 You only have 10 seconds to show you're a somebody,Watch your target person even when someone else is speaking. This powerfully communicates that you are extremely interested in their reactions and can't take your eyes off them.,
04 Hang by Your Teeth,01 You only have 10 seconds to show you're a somebody,The perfect posture will help you captivate the crowd.,
05 The Big-Baby Pivot,01 You only have 10 seconds to show you're a somebody,"The moment you are introduced to someone, give them a warm smile and turn your body 100 percent towards them, offering your undivided attention as you would to a small child.",
06 Hello Old Friend,01 You only have 10 seconds to show you're a somebody,"When you meet someone new, imagine they are an old friend you are happily reunited with. This triggers a chain reaction of warm and positive body language, from your eyebrows to your toes.",
07 Limit the Fidget,01 You only have 10 seconds to show you're a somebody,"In any important conversation, do not fidget, twitch, squirm, or touch your face. Such movements can give the impression that you are fibbing or that something isn't right.",
08 Hans's Horse Sense,01 You only have 10 seconds to show you're a somebody,"While you are talking, also keep a keen eye on how your listener is reacting to what you are saying. Then, plan your next moves based on their reactions.",
09 Watch the Scene Before You Make the Scene,01 You only have 10 seconds to show you're a somebody,"Before an event, visualize yourself walking with great posture, smiling, making eye contact, and chatting comfortably with everyone. This mental rehearsal helps it all happen automatically.",
10 The Mood Match,"02 How to Know What to Say After You Say ""Hi""","Before speaking, take a ""voice sample"" of your listener to understand their state of mind and match their mood and tone.",
11 Prosaic with Passion,"02 How to Know What to Say After You Say ""Hi""","Don't worry about your first words, as 80 percent of a listener's impression is non-verbal. No matter how ordinary the words, a passionate delivery and positive demeanor will make you sound exciting.",
12 Always Wear a Whatzit,"02 How to Know What to Say After You Say ""Hi""","When you go to a gathering, wear or carry something unusual to give people an excuse to approach you and start a conversation.",
13 Whoozat?,"02 How to Know What to Say After You Say ""Hi""","Ask the host of a party or event to introduce you to someone you want to meet, or ask them for a few facts you can use as an icebreaker.",
14 Eavesdrop In,"02 How to Know What to Say After You Say ""Hi""","Stand near a group you wish to join and listen to their conversation. When you have something to contribute, jump in by saying, ""Excuse me, I couldn't help but overhear..."".",
15 Never the Naked City,"02 How to Know What to Say After You Say ""Hi""","When asked where you are from, never give a one-word answer. Share some engaging facts about your hometown that your conversation partner can comment on.",
16 Never the Naked Job,"02 How to Know What to Say After You Say ""Hi""","When asked what you do, expand on your job title with interesting details to give your new acquaintance something to talk about.",
17 Never the Naked Introduction,"02 How to Know What to Say After You Say ""Hi""","When introducing people, don't just state their names. Provide a ""conversational hook,"" like a shared hobby or interest, to help get them talking.",
18 Be a Word Detective,"02 How to Know What to Say After You Say ""Hi""","Listen closely to every word your conversation partner says for clues to their preferred topics, then steer the conversation in that direction.",
19 The Swiveling Spotlight,"02 How to Know What to Say After You Say ""Hi""","Imagine a large spotlight between you and your conversation partner. When they are speaking, shine it on them; the longer you keep the focus off yourself, the more interesting they will find you.",
20 Parroting,"02 How to Know What to Say After You Say ""Hi""","To avoid being speechless, simply repeat the last few words your conversation partner said. This puts the ball back in their court and prompts them to continue.",
21 Encore!,"02 How to Know What to Say After You Say ""Hi""","When you are with someone important to you in a group, ask them to retell an enjoyable story by saying, ""Tell them about the time you..."".",
22 Ac-cen-tu-ate the Pos-i-tive,"02 How to Know What to Say After You Say ""Hi""","When you first meet someone, save your skeletons for later in the relationship and focus on positive topics.",
23 The Latest News | Don't Leave Home Without It,"02 How to Know What to Say After You Say ""Hi""",Knowing the big-deal news happened today will rescue you from having no clue what everybody’s talking about.,
24 What Do You Do—NOT!,03 How to talk like the big boys 'n' girls,"A sign of a ""Somebody"" is the absence of the question, ""What do you do?"". Instead, ask a more gracious question like, ""How do you spend most of your time?"".",
25 The Nutshell Resume,03 How to talk like the big boys 'n' girls,"Just as you would tailor a written resume, tailor the verbal description of your professional life to match the interests of each listener.",
26 Your Personal Thesaurus,03 How to talk like the big boys 'n' girls,"Improve your vocabulary by looking up common words you use daily and substituting them with a few new, more interesting words to enrich your vocabulary.",
"27 Kill the Quick 'Me, Too!'",03 How to talk like the big boys 'n' girls,"If you share an interest with someone, the longer you wait to reveal it, the more impressed they will be, as you will come across as more confident.",
28 Comm-YOU-nication,03 How to talk like the big boys 'n' girls,"Start sentences with the word ""you"" whenever appropriate. It grabs your listener's attention and gets a more positive response.",
29 The Exclusive Smile,03 How to talk like the big boys 'n' girls,"When meeting a group of people, give each person a distinct and specific smile rather than one generic smile for everyone.",
30 Don't Touch a Cliché with a Ten-Foot Pole,03 How to talk like the big boys 'n' girls,Avoid using clichés when talking with successful people.,
31 Use Jawsmith's Jive,03 How to talk like the big boys 'n' girls,"Read books by public speakers to find memorable quotes, pearls of wisdom, and clever phrases that you can use in your own conversations.",
32 Call a Spade a Spade,03 How to talk like the big boys 'n' girls,"Don't hide behind euphemisms. Big winners use direct, clear language and are not afraid of ""real words"".",
33 Trash the Teasing,03 How to talk like the big boys 'n' girls,"Never make a joke at someone else's expense. It is a dead giveaway of a ""little cat"" and will cause ""big cats"" to look down on you.",
34 It's the Receiver's Ball,03 How to talk like the big boys 'n' girls,"Before delivering any news, consider how the receiver will take it, and deliver it with the appropriate emotion—a smile, a sigh, or a sob—for them.",
35 The Broken Record,03 How to talk like the big boys 'n' girls,"When someone keeps asking you about a topic you don't want to discuss, simply repeat your initial response using the exact same words and tone of voice.",
36 Big Shots Don't Slobber,03 How to talk like the big boys 'n' girls,"When talking with a celebrity, don't compliment their work directly; instead, mention the pleasure or insight it has given you, and focus on a recent accomplishment.",
37 Never the Naked Thank You,03 How to talk like the big boys 'n' girls,"Do not let the phrase ""thank you"" stand alone. Always follow it with ""for,"" specifying what you are grateful for.",
38 Scramble Therapy,04 How to be an insider in any crowd,"Once a month, do something you would never normally do, like attend a lecture or sport outside your usual interests, to get 80 percent of the right lingo from just one exposure.",
39 Learn a Little Gobbledygook,04 How to be an insider in any crowd,"""Jobbledygook"" is the language of other professions. Learning a few key phrases or opening questions makes you sound like an insider.",
40 Baring Their Hot Button,04 How to be an insider in any crowd,"Before meeting people from a particular industry, find out what the current hot-button issues or burning concerns are in their field and bring them up in conversation.",
41 Read Their Rags,04 How to be an insider in any crowd,"To learn about any profession or hobby, read the monthly magazines and trade publications that serve their specific interest.",
42 Clear 'Customs',04 How to be an insider in any crowd,"Before visiting a foreign country, get a book on international dos and taboos to avoid making a cultural gaffe with gestures, gifts, or compliments.",
