source,target,value
Basmati Rice,Basmati Rice (1 cup),1
Basmati Rice (1 cup),Basmati Rice: soaked,1
Basmati Rice: soaked,Saute,1
Onion (1),Onion: Julienne(d),1
Onion: Julienne(d),Saute,1
Carrot,Carrot: chopped,1
Carrot: chopped,Saute,1
Bay Leaves (2),Saute,1
Cumin,Cumin Seeds,1
Cumin Seeds,Cumin Seeds (1/2 tsp),1
Cumin Seeds (1/2 tsp),Saute,1
Green Cardamon,Green Cardamom (3),1
Green Cardamom (3),Saute,1
Cloves,Cloves (3),1
Cloves (3),Saute,1
Black Peppercorns,Black Peppercorns (1/4 tsp),1
Black Peppercorns (1/4 tsp),Saute,1
Chilli,Chilli (2),1
Chilli(2), Chilli: chopped,1
Salt,Cook,1
Sugar,Cook,1
Ginger,Ginger Garlic Paste,1
Garlic,Ginger Garlic Paste,1
Ginger Garlic Paste,Ginger Garlic Paste (2 tsp),1
Ginger Garlic Paste (2 tsp),Saute,1
Potato,Potato: diced,1
Green Peas,Green Peas,1
Beans,Beans (1 cup),1
Cilantro,Cilantro (1/3 cup),1
Cilantro (1/3 cup),Cilantro: chopped,1
